ISBN,Product-Title,Product-Owner,Year-Of-Publication,Publisher,,Image-URL-M,Image-URL-L
195153448,Duke 390,Mark P. O. Morford,2002,Oxford University Press,,https://autocdn.co.uk/cdn-cgi/imagedelivery/JC4X6oe6GKVO4ZI4xd1Czg/1994568b-2d1c-42de-b57d-f4fdfbe5dc00/medium,http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg
2005018,Mercedes Gwagon,Richard Bruce Wright,2001,HarperFlamingo Canada,,https://media.donedeal.ie/eyJidWNrZXQiOiJkb25lZGVhbC5pZS1waG90b3MiLCJlZGl0cyI6eyJ0b0Zvcm1hdCI6ImpwZWciLCJyZXNpemUiOnsiZml0IjoiY292ZXIiLCJ3aWR0aCI6NjAwLCJoZWlnaHQiOjQ1MH19LCJrZXkiOiJwaG90b18yMjE5ODY1NDgifQ==?signature=f3609b54f16df104f3216443e24473addcb093710cd4a6e2a31763d32efe91cc,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg
60973129,Dining Table,Carlo D'Este,1991,HarperPerennial,,https://scontent.fktm3-1.fna.fbcdn.net/v/t39.30808-6/311445925_3221679148092814_4927272609690046294_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=843cd7&_nc_ohc=l-c-q3nLBRkAX_oP9Hx&_nc_ht=scontent.fktm3-1.fna&oh=00_AfDf-G7ip56tr7QEkQR5nvfxS9TTtewL7HDxQnairLfvXQ&oe=63B98F63,https://d3uqdunx08evqq.cloudfront.net/media/catalog/product/k/i/800x880/kingstone--six-seater-dining-table-set-in-brown-colour-with-highback-dining-chair-by-parin-kingstone-fmxfnm.jpg
374157065,Computer Table,Gina Bari Kolata,1999,Farrar Straus Giroux,,https://media.karousell.com/media/photos/products/2021/5/23/used_computer_table_60x120_1621740774_d98f2fde_progressive.jpg,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg
393045218,Chair,E. J. W. Barber,1999,W. W. Norton &amp; Company,,https://for-sale.used-secondhand.co.uk/media/used/secondhand/images/67302/96x-brand-new-restaurant-chairs-seconds/500/brand-new-faux-leather-restaurant-chairs-seconds-307.JPG,http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg
399135782,Gamming Chair,Amy Tan,1991,Putnam Pub Group,,https://dbz-images.dubizzle.com/images/2022/12/01/d69c0e75ad4c4dd39c67de5bd70b66a4-.jpeg,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg
425176428,Washing Machine,Robert Cowley,2000,Berkley Publishing Group,,https://i.pinimg.com/originals/de/ea/a0/deeaa0122a50d1a7f0870732e1759c3a.jpg,http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg
671870432,Guitar,Scott Turow,1993,Audioworks,,https://mattsmusic.com/wp-content/uploads/2022/12/IMG_5776.jpg,http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg
679425608,Refrigerator,David Cordingly,1996,Random House,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtxix8bk7vGGPtUoKdA1e2ykebw_NRSuDHfA&usqp=CAU,http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg
074322678X,fridge,Ann Beattie,2002,Scribner,,https://5.imimg.com/data5/SELLER/Default/2022/5/HV/VR/KN/2895551/img-9132-1000x1000.JPG,http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg
771074670,Air Conditioner,David Adams Richards,1988,Emblem Editions,,https://pictures-ghana.jijistatic.com/23399150_OTYwLTEyMTQtZjY3ZTU0MWNiNg.jpg,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg
080652121X,Air Cooller,Adam Lebor,2000,Citadel Press,,https://media.karousell.com/media/photos/products/2022/12/12/lightly_used_air_cooler_1670853463_1b1141f3_progressive.jpg,http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg
887841740,Sofa Set,Sheila Heti,2004,House of Anansi Press,,https://m.media-amazon.com/images/I/61vWTGxwgAL._SL1100_.jpg,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg
1552041778,Rocking Cair,R. J. Kaiser,1999,Mira Books,,https://media.mutualart.com/Images/2022_11/09/13/132420073/h--102---w--65---d--87-cm-0W30G.Jpeg,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg
1558746218,Wall Mirror,Jack Canfield,1998,Health Communications,,https://ak1.ostkcdn.com/images/products/is/images/direct/bab85fbbb8fba65afe92451f262ccb177b660781/Modern-Rectangular-Full-Length-Wall-Mirror-Floor-Mirror.jpg,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg
1567407781,Audi R8 Sterring wheel,Loren D. Estleman,1998,Brilliance Audio - Trade,,https://media.karousell.com/media/photos/products/2020/9/7/audi_r8_steering_wheel_1599485024_37ca5d61.jpg,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg
1575663937,Michelin Tyre,Robert Hendrickson,1999,Kensington Publishing Corp.,,https://media.karousell.com/media/photos/products/2021/1/21/4pcs_1857014_michelin_xm2_used_1611234339_add337ad_progressive.jpg,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg
1881320189,Ceat Tyre,Julia Oliver,1994,River City Pub,,https://3.imimg.com/data3/PB/XH/GLADMIN-155616/used-truck-tyres-500x500.jpg,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg
,Closset ,,,,,https://media.karousell.com/media/photos/products/2019/08/03/used_wardrobe_for_sale_1564823578_5861fa95_progressive.jpg,
